Date,Social Volume,Social Volume AI,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total)
2011-01-17T00:00:00.000Z,84,171,13.24375605583191,5.808756351470947,
2011-01-18T00:00:00.000Z,38,88,4.721557080745697,3.8214645981788635,
2011-01-19T00:00:00.000Z,50,103,9.503194808959961,3.0720319747924805,
2011-01-20T00:00:00.000Z,56,183,6.448297381401062,2.4631630778312683,
2011-01-21T00:00:00.000Z,62,186,7.263049602508545,4.793040096759796,
2011-01-22T00:00:00.000Z,54,144,7.660908818244934,4.732345879077911,
2011-01-23T00:00:00.000Z,79,195,6.60596776008606,6.255926072597504,
2011-01-24T00:00:00.000Z,67,141,4.78258889913559,4.951102197170258,
2011-01-25T00:00:00.000Z,77,164,4.999774098396301,4.870242774486542,
2011-01-26T00:00:00.000Z,54,116,6.272279143333435,1.688860297203064,
2011-01-27T00:00:00.000Z,53,130,6.791896998882294,5.040812194347382,
2011-01-28T00:00:00.000Z,64,125,11.387159883975983,5.993180513381958,
2011-01-29T00:00:00.000Z,59,131,4.93278032541275,3.7058887481689453,
2011-01-30T00:00:00.000Z,56,124,6.532793939113617,1.5288886427879333,
2011-01-31T00:00:00.000Z,52,151,2.2837895154953003,3.3858277201652527,
2011-02-01T00:00:00.000Z,91,205,5.911475896835327,9.046492040157318,
2011-02-02T00:00:00.000Z,112,248,10.432781994342804,7.762824773788452,
2011-02-03T00:00:00.000Z,77,161,6.7693580985069275,7.131442904472351,
2011-02-04T00:00:00.000Z,66,127,4.085129380226135,4.442111670970917,
2011-02-05T00:00:00.000Z,62,162,8.05968326330185,3.9239898920059204,
2011-02-06T00:00:00.000Z,58,126,6.473584949970245,0,
2011-02-07T00:00:00.000Z,62,160,8.895646691322327,3.9880815744400024,
2011-02-08T00:00:00.000Z,78,171,5.572165548801422,2.545875906944275,
2011-02-09T00:00:00.000Z,93,191,18.258753538131714,7.141474783420563,
2011-02-10T00:00:00.000Z,164,431,28.332497358322144,7.219473302364349,
2011-02-11T00:00:00.000Z,120,228,17.19453501701355,12.559821903705597,
2011-02-12T00:00:00.000Z,98,177,14.165676295757294,5.266431033611298,
2011-02-13T00:00:00.000Z,109,263,7.9856032729148865,17.166414082050323,
2011-02-14T00:00:00.000Z,120,250,16.20847314596176,7.077953040599823,
2011-02-15T00:00:00.000Z,120,287,13.869167029857635,5.121925711631775,
2011-02-16T00:00:00.000Z,130,337,16.36581289768219,8.546104431152344,
2011-02-17T00:00:00.000Z,107,261,14.262701988220215,6.18911212682724,
2011-02-18T00:00:00.000Z,159,479,7.899703919887543,11.20714545249939,
2011-02-19T00:00:00.000Z,132,268,16.65806472301483,6.667188227176666,
2011-02-20T00:00:00.000Z,145,296,11.52136892080307,9.312623739242554,
2011-02-21T00:00:00.000Z,160,329,10.280219197273254,14.708419442176819,
2011-02-22T00:00:00.000Z,175,435,23.64413172006607,10.340387165546417,
2011-02-23T00:00:00.000Z,169,330,19.91823101043701,10.908056855201721,
2011-02-24T00:00:00.000Z,218,487,21.378344297409058,20.173105716705322,
2011-02-25T00:00:00.000Z,141,311,18.850272059440613,15.413915574550629,
2011-02-26T00:00:00.000Z,109,233,5.360158979892731,4.58701229095459,
2011-02-27T00:00:00.000Z,108,224,8.71401458978653,7.3671470284461975,
2011-02-28T00:00:00.000Z,151,284,15.666672945022583,16.31151854991913,
2011-03-01T00:00:00.000Z,176,332,10.455109477043152,22.483358144760132,
2011-03-02T00:00:00.000Z,130,248,11.861375093460083,11.414218664169312,
2011-03-03T00:00:00.000Z,138,240,14.457423865795135,7.182363271713257,
2011-03-04T00:00:00.000Z,107,262,13.284181833267212,7.708181977272034,
2011-03-05T00:00:00.000Z,108,187,13.985891819000244,9.775445759296417,
2011-03-06T00:00:00.000Z,115,264,12.766928017139435,7.153849184513092,
2011-03-07T00:00:00.000Z,139,260,15.336712002754211,8.703112185001373,
2011-03-08T00:00:00.000Z,126,233,15.942009806632996,6.954136312007904,
2011-03-09T00:00:00.000Z,93,183,9.855493247509003,7.8091921210289,
2011-03-10T00:00:00.000Z,99,211,8.990781843662262,7.0418020486831665,
2011-03-11T00:00:00.000Z,81,237,10.435089886188507,9.745674788951874,
2011-03-12T00:00:00.000Z,98,200,14.59409362077713,8.1773002743721,
2011-03-13T00:00:00.000Z,48,170,8.620620429515839,0,
2011-03-14T00:00:00.000Z,91,217,10.197388172149658,6.365575075149536,
2011-03-15T00:00:00.000Z,91,193,8.570314347743988,7.10787558555603,
2011-03-16T00:00:00.000Z,92,181,8.489596784114838,4.791463315486908,
2011-03-17T00:00:00.000Z,137,325,17.036875307559967,11.406243085861206,
2011-03-18T00:00:00.000Z,111,244,20.70849722623825,3.167652189731598,
2011-03-19T00:00:00.000Z,132,317,20.576397001743317,9.110536992549896,
2011-03-20T00:00:00.000Z,137,350,19.268691956996918,13.553349673748016,
2011-03-21T00:00:00.000Z,142,273,19.42583304643631,8.223528921604156,
2011-03-22T00:00:00.000Z,158,390,18.698148548603058,13.30503761768341,
2011-03-23T00:00:00.000Z,210,433,24.351753890514374,13.364399909973145,
2011-03-24T00:00:00.000Z,127,286,6.627209305763245,7.568450510501862,
2011-03-25T00:00:00.000Z,141,298,14.951079428195953,10.451239883899689,
2011-03-26T00:00:00.000Z,138,379,15.494567215442657,10.866458356380463,
2011-03-27T00:00:00.000Z,112,231,13.11122578382492,9.254295349121094,
2011-03-28T00:00:00.000Z,128,332,9.521502077579498,11.579608619213104,
2011-03-29T00:00:00.000Z,174,327,25.824730038642883,15.970566749572754,
2011-03-30T00:00:00.000Z,156,271,27.18672478199005,5.7607258558273315,
2011-03-31T00:00:00.000Z,157,310,24.35775637626648,12.60362184047699,
2011-04-01T00:00:00.000Z,83,174,15.010969579219818,5.8992502093315125,
2011-04-02T00:00:00.000Z,90,191,11.256381154060364,5.31313157081604,
2011-04-03T00:00:00.000Z,90,186,11.840607106685638,5.904217600822449,
2011-04-04T00:00:00.000Z,118,258,15.573379635810852,8.760676264762878,
2011-04-05T00:00:00.000Z,165,330,20.750687062740326,13.771700024604797,
2011-04-06T00:00:00.000Z,197,444,30.12724620103836,16.205155670642853,
2011-04-07T00:00:00.000Z,129,290,16.03506648540497,7.57198429107666,
2011-04-08T00:00:00.000Z,139,337,20.39372605085373,9.139993488788605,
2011-04-09T00:00:00.000Z,159,326,11.521095216274261,7.111001193523407,
2011-04-10T00:00:00.000Z,95,196,8.401814699172974,6.631602644920349,
2011-04-11T00:00:00.000Z,124,284,24.797790825366974,15.985803604125977,
2011-04-12T00:00:00.000Z,96,268,9.846688330173492,8.5485360622406,
2011-04-13T00:00:00.000Z,126,229,19.974950969219208,10.97170603275299,
2011-04-14T00:00:00.000Z,169,292,11.563853204250336,14.97633683681488,
2011-04-15T00:00:00.000Z,150,298,20.598510324954987,12.046140909194946,
