"DateTime","Number of Large Transactions","Price"
"2015-01-17 00:00:00",231,202.15
"2015-01-18 00:00:00",177,206.62
"2015-01-19 00:00:00",261,212.48
"2015-01-20 00:00:00",291,210
"2015-01-21 00:00:00",386,218.22
"2015-01-22 00:00:00",387,232.18
"2015-01-23 00:00:00",275,230.91
"2015-01-24 00:00:00",279,239.23
"2015-01-25 00:00:00",240,248.9
"2015-01-26 00:00:00",934,281.21
"2015-01-27 00:00:00",533,262.08
"2015-01-28 00:00:00",254,247.86
"2015-01-29 00:00:00",345,230.94
"2015-01-30 00:00:00",376,236.01
"2015-01-31 00:00:00",162,225.91
"2015-02-01 00:00:00",175,220.58
"2015-02-02 00:00:00",335,231.52
"2015-02-03 00:00:00",685,235.7
"2015-02-04 00:00:00",752,225.47
"2015-02-05 00:00:00",362,222.1
"2015-02-06 00:00:00",250,220.91
"2015-02-07 00:00:00",177,226.69
"2015-02-08 00:00:00",187,224.87
"2015-02-09 00:00:00",264,220.33
"2015-02-10 00:00:00",212,218.32
"2015-02-11 00:00:00",196,220.41
"2015-02-12 00:00:00",117,220.15
"2015-02-13 00:00:00",224,231.1
"2015-02-14 00:00:00",136,248.32
"2015-02-15 00:00:00",153,245.57
"2015-02-16 00:00:00",172,234.02
"2015-02-17 00:00:00",183,239.6
"2015-02-18 00:00:00",200,238.61
"2015-02-19 00:00:00",127,239.49
"2015-02-20 00:00:00",151,243.3
"2015-02-21 00:00:00",151,244.99
"2015-02-22 00:00:00",93,239.63
"2015-02-23 00:00:00",117,235.7
"2015-02-24 00:00:00",129,237.88
"2015-02-25 00:00:00",174,237.12
"2015-02-26 00:00:00",248,235.83
"2015-02-27 00:00:00",439,247.21
"2015-02-28 00:00:00",144,252.07
"2015-03-01 00:00:00",276,252.71
"2015-03-02 00:00:00",531,265.48
"2015-03-03 00:00:00",360,276.59
"2015-03-04 00:00:00",270,275.19
"2015-03-05 00:00:00",401,271.83
"2015-03-06 00:00:00",313,273.51
"2015-03-07 00:00:00",192,273.83
"2015-03-08 00:00:00",296,275.04
"2015-03-09 00:00:00",286,283.52
"2015-03-10 00:00:00",290,294.54
"2015-03-11 00:00:00",357,293.27
"2015-03-12 00:00:00",250,293.9
"2015-03-13 00:00:00",333,290.5
"2015-03-14 00:00:00",282,283.85
"2015-03-15 00:00:00",140,283.38
"2015-03-16 00:00:00",224,289.39
"2015-03-17 00:00:00",237,287.86
"2015-03-18 00:00:00",527,266.92
"2015-03-19 00:00:00",507,255.9
"2015-03-20 00:00:00",240,261.28
"2015-03-21 00:00:00",210,258.64
"2015-03-22 00:00:00",146,264.71
"2015-03-23 00:00:00",242,265.2
"2015-03-24 00:00:00",393,254.84
"2015-03-25 00:00:00",364,242.03
"2015-03-26 00:00:00",340,249.11
"2015-03-27 00:00:00",319,247.26
"2015-03-28 00:00:00",139,250.27
"2015-03-29 00:00:00",134,245.87
"2015-03-30 00:00:00",240,242.69
"2015-03-31 00:00:00",266,244.94
"2015-04-01 00:00:00",262,243.62
"2015-04-02 00:00:00",145,249.55
"2015-04-03 00:00:00",196,253.9
"2015-04-04 00:00:00",114,252.78
"2015-04-05 00:00:00",156,255.43
"2015-04-06 00:00:00",303,256.89
"2015-04-07 00:00:00",280,252.88
"2015-04-08 00:00:00",271,248.42
"2015-04-09 00:00:00",203,241.92
