"DateTime","Netflow","Price"
"2018-10-13 00:00:00",-318.200513,6259.83
"2018-10-14 00:00:00",-2636.038358,6296.87
"2018-10-15 00:00:00",34788.48,6739.8
"2018-10-16 00:00:00",-2405.480445,6635.23
"2018-10-17 00:00:00",-1129.435624,6550.4
"2018-10-18 00:00:00",-3046.988109,6530.66
"2018-10-19 00:00:00",-10628.609039,6476.23
"2018-10-20 00:00:00",1087.08,6520.33
"2018-10-21 00:00:00",-16.064221,6515.93
"2018-10-22 00:00:00",-67.435816,6495.81
"2018-10-23 00:00:00",2156.41,6467.59
"2018-10-24 00:00:00",2594.8,6502.04
"2018-10-25 00:00:00",1050.78,6465.1
"2018-10-26 00:00:00",31750.54,6477.91
"2018-10-27 00:00:00",-73.154084,6462.48
"2018-10-28 00:00:00",30056.79,6463.99
"2018-10-29 00:00:00",27959.98,6382.99
"2018-10-30 00:00:00",2051.59,6313.49
"2018-10-31 00:00:00",880.82,6316.37
"2018-11-01 00:00:00",854.24,6362.6
"2018-11-02 00:00:00",3543.12,6396.25
"2018-11-03 00:00:00",77.56,6367.53
"2018-11-04 00:00:00",-811.79402,6425.04
"2018-11-05 00:00:00",0,6441.25
"2018-11-06 00:00:00",0.00205,6447.69
"2018-11-07 00:00:00",3002,6519.69
"2018-11-08 00:00:00",4577.73,6490.35
"2018-11-09 00:00:00",906.05,6405.21
"2018-11-10 00:00:00",0.000253,6398.05
"2018-11-11 00:00:00",-730,6370.28
"2018-11-12 00:00:00",6043.91,6393.14
"2018-11-13 00:00:00",-3240.601575,6352.51
"2018-11-14 00:00:00",-5153.79392,5922.82
"2018-11-15 00:00:00",5031.41,5533.91
"2018-11-16 00:00:00",220.65,5582.21
"2018-11-17 00:00:00",5000.01,5563.36
"2018-11-18 00:00:00",41.79,5634.65
"2018-11-19 00:00:00",0,5186.5
"2018-11-20 00:00:00",28467.38,4560.91
"2018-11-21 00:00:00",-3818.307136,4502.57
"2018-11-22 00:00:00",-1850.509788,4468.97
"2018-11-23 00:00:00",14238.51,4288.33
"2018-11-24 00:00:00",798.96,4086.6
"2018-11-25 00:00:00",3701.77,3857.99
"2018-11-26 00:00:00",-486.677196,3861.76
"2018-11-27 00:00:00",174.65,3746.01
"2018-11-28 00:00:00",0,4110.76
"2018-11-29 00:00:00",31691.82,4287.54
"2018-11-30 00:00:00",262.47,4123.68
"2018-12-01 00:00:00",0,4126.14
"2018-12-02 00:00:00",1785.51,4198.23
"2018-12-03 00:00:00",-0.010141,3977.1
"2018-12-04 00:00:00",641.82,3926.8
"2018-12-05 00:00:00",146.43,3840.5
"2018-12-06 00:00:00",2781.94,3675.68
"2018-12-07 00:00:00",1706.56,3412.06
"2018-12-08 00:00:00",10221.39,3448.85
"2018-12-09 00:00:00",2663.24,3577.54
"2018-12-10 00:00:00",2755.4,3531.13
"2018-12-11 00:00:00",23985.17,3416.28
"2018-12-12 00:00:00",952.88,3462.93
"2018-12-13 00:00:00",2449.68,3383.29
"2018-12-14 00:00:00",649.26,3257.1
"2018-12-15 00:00:00",0,3220.65
"2018-12-16 00:00:00",0.000651,3273.62
"2018-12-17 00:00:00",325.67,3439.36
"2018-12-18 00:00:00",424.03,3604.73
"2018-12-19 00:00:00",8549.03,3831.64
"2018-12-20 00:00:00",7600.38,3969.17
"2018-12-21 00:00:00",-70.824497,4039.46
"2018-12-22 00:00:00",181.6,3954.79
"2018-12-23 00:00:00",8015,4045.02
"2018-12-24 00:00:00",26.36,4154.98
"2018-12-25 00:00:00",-311.13142,3914.73
"2018-12-26 00:00:00",1110.2,3835.4
"2018-12-27 00:00:00",1433.08,3755.66
"2018-12-28 00:00:00",20791.19,3818.07
"2018-12-29 00:00:00",48128.9,3889.26
"2018-12-30 00:00:00",0.000006,3842.99
"2018-12-31 00:00:00",132.76,3802.88
"2019-01-01 00:00:00",-2604.31173,3817.85
"2019-01-02 00:00:00",0,3907.94
"2019-01-03 00:00:00",-6836.548294,3872.14
"2019-01-04 00:00:00",-256.085039,3842.77
"2019-01-05 00:00:00",7107.04,3884.03
"2019-01-06 00:00:00",0,3987.13
"2019-01-07 00:00:00",-223.442272,4066.98
"2019-01-08 00:00:00",-2458.95985,4073.25
"2019-01-09 00:00:00",-3653.76234,4052.96
"2019-01-10 00:00:00",5744.64,3858.08
"2019-01-11 00:00:00",136013.23,3673.05
"2019-01-12 00:00:00",119.35,3651.66
"2019-01-13 00:00:00",0.000621,3601.72
"2019-01-14 00:00:00",0.000115,3646.71
"2019-01-15 00:00:00",103503.99,3657.4
"2019-01-16 00:00:00",-4578.671499,3657.88
